Kontenplan;ID;Buchungskonto;Bezeichnung;Übergeordnetes Konto;Kontenklasse;Benutzerdefinierte Kontengruppe;Status
SKR42;;01000;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;ref:01000;0: Anlagevermögenskonten;;0
SKR42;;01100;Konzessionen;ref:01100;0: Anlagevermögenskonten;;0
SKR42;;01200;Gewerbliche Schutzrechte;ref:01200;0: Anlagevermögenskonten;;0
SKR42;;01300;Ähnliche Rechte und Werte;ref:01300;0: Anlagevermögenskonten;;0
SKR42;;01350;EDV-Software;ref:01350;0: Anlagevermögenskonten;;0
SKR42;;01400;Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten;ref:01400;0: Anlagevermögenskonten;;0
SKR42;;01500;Geschäfts- oder Firmenwert;ref:01500;0: Anlagevermögenskonten;;0
SKR42;;01700;Geleistete Anzahlungen auf immaterielle Vermögensgegenstände;ref:01700;0: Anlagevermögenskonten;;0
SKR42;;01790;Anzahlungen auf Geschäfts- oder Firmenwert;ref:01790;0: Anlagevermögenskonten;;0
SKR42;;02000;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;ref:02000;0: Anlagevermögenskonten;;0
SKR42;;02100;Grundstücksgleiche Rechte ohne Bauten;ref:02100;0: Anlagevermögenskonten;;0
SKR42;;02150;Unbebaute Grundstücke;ref:02150;0: Anlagevermögenskonten;;0
SKR42;;02200;Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke);ref:02200;0: Anlagevermögenskonten;;0
SKR42;;02250;Grundstücke mit Substanzverzehr;ref:02250;0: Anlagevermögenskonten;;0
SKR42;;02300;Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten;ref:02300;0: Anlagevermögenskonten;;0
SKR42;;02350;Grundstückswerte eigener bebauter Grundstücke;ref:02350;0: Anlagevermögenskonten;;0
SKR42;;02400;Geschäftsbauten;ref:02400;0: Anlagevermögenskonten;;0
SKR42;;02410;Gebäude;ref:02410;0: Anlagevermögenskonten;;0
SKR42;;02430;Hallen;ref:02430;0: Anlagevermögenskonten;;0
SKR42;;02440;Gaststätte;ref:02440;0: Anlagevermögenskonten;;0
SKR42;;02500;Fabrikbauten;ref:02500;0: Anlagevermögenskonten;;0
SKR42;;02600;Andere Bauten;ref:02600;0: Anlagevermögenskonten;;0
SKR42;;02700;Garagen;ref:02700;0: Anlagevermögenskonten;;0
SKR42;;02800;Außenanlagen;ref:02800;0: Anlagevermögenskonten;;0
SKR42;;02850;Hof- und Wegebefestigungen;ref:02850;0: Anlagevermögenskonten;;0
SKR42;;02900;Einrichtungen für Geschäfts- und andere Bauten;ref:02900;0: Anlagevermögenskonten;;0
SKR42;;03000;Wohnbauten;ref:03000;0: Anlagevermögenskonten;;0
SKR42;;03050;Garagen;ref:03050;0: Anlagevermögenskonten;;0
SKR42;;03100;Außenanlagen;ref:03100;0: Anlagevermögenskonten;;0
SKR42;;03150;Hof- und Wegebefestigungen;ref:03150;0: Anlagevermögenskonten;;0
SKR42;;03200;Einrichtungen für Wohnbauten;ref:03200;0: Anlagevermögenskonten;;0
SKR42;;03300;Bauten auf fremden Grundstücken;ref:03300;0: Anlagevermögenskonten;;0
